window_id,source_family,event_family,row_count,run_or_action_key_rate,session_key_rate,tracking_or_trace_key_rate,status_or_error_rate,citation_signal_rate,feedback_signal_rate,skill_signal_rate
window_1,gce,GLEAN_BOT_ACTIVITY,290537779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_1,gce,AI_SUMMARY,225147,0.0,0.0,0.0994,0.0,0.0,0.0,0.0
window_1,span,SPAN_UNKNOWN_AGENT_TRACE_CONTEXT,649611350,0.8879,0.475,1.0,2.0E-4,0.0,0.0,0.0
window_1,span,SPAN_UNKNOWN_AGENT_STEP,253582624,1.0,0.9978,1.0,1.0,0.1075,0.0,0.0
window_1,span,AGENT_RUN_SPAN,183022259,1.0,0.9987,1.0,0.2886,0.0892,0.0,0.0
window_1,span,ACTION_SPAN,165551876,1.0,0.9781,1.0,0.9886,0.0,0.0,0.0013
window_1,span,SPAN_UNKNOWN_OTHER,82670,0.0926,0.0161,0.0,0.0,0.0,0.0,0.0
window_2,gce,GLEAN_BOT_ACTIVITY,278048388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_2,gce,MCP_USAGE,2709479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_2,gce,AI_SUMMARY,228308,0.0,0.0,0.0887,0.0,0.0,0.0,0.0
window_2,span,SPAN_UNKNOWN_AGENT_TRACE_CONTEXT,909258903,0.8441,0.5134,1.0,1.0E-4,0.0,0.0,0.0
window_2,span,SPAN_UNKNOWN_AGENT_STEP,289588887,1.0,0.9975,1.0,1.0,0.1072,0.0,0.0
window_2,span,AGENT_RUN_SPAN,211267004,1.0,0.9988,1.0,0.6211,0.0984,0.0,0.0
window_2,span,ACTION_SPAN,202994265,1.0,0.9666,1.0,0.9983,0.0,0.0,0.0024
window_2,span,SPAN_UNKNOWN_OTHER,154636,0.0512,0.0127,0.0,0.0,0.0,0.0,0.0
window_3,gce,GLEAN_BOT_ACTIVITY,278900691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_3,gce,MCP_USAGE,8291019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_3,gce,AI_SUMMARY,243537,0.0,0.0,0.0715,0.0,0.0,0.0,0.0
window_3,span,SPAN_UNKNOWN_AGENT_TRACE_CONTEXT,1507771910,0.842,0.555,1.0,1.0E-4,0.0,0.0,0.0
window_3,span,SPAN_UNKNOWN_AGENT_STEP,321259738,1.0,0.935,0.9998,1.0,0.1212,0.0,0.0
window_3,span,ACTION_SPAN,274735323,1.0,0.9327,0.9999,0.9993,0.0,0.0,0.0041
window_3,span,AGENT_RUN_SPAN,249264548,1.0,0.9585,1.0,0.6369,0.1145,0.0,0.0
window_3,span,SPAN_UNKNOWN_OTHER,326011,0.2192,0.02,0.0,1.0E-4,0.0,0.0,0.0
