window_id,span_shape,status_shape,span_count
window_1,agent_trace_context_present,NO_STATUS_FIELD,649537473
window_1,agent_step_status_present,EXECUTED,229539221
window_1,agent_step_status_present,SKIPPED,19203332
window_1,agent_step_status_present,ERROR,4493934
window_1,agent_step_status_present,PAUSED,365986
window_1,agent_trace_context_present,SUCCESS,91211
window_1,unclassified_span_shape,NO_STATUS_FIELD,74209
window_1,agent_trace_context_present,ERROR,8357
window_1,workflow_context_present,NO_STATUS_FIELD,7656
window_1,session_context_present,NO_STATUS_FIELD,810
window_1,agent_trace_context_present,CANCELLED,16
window_2,agent_trace_context_present,NO_STATUS_FIELD,909097235
window_2,agent_step_status_present,EXECUTED,231523996
window_2,agent_step_status_present,SKIPPED,51506618
window_2,agent_step_status_present,ERROR,6176377
window_2,agent_step_status_present,PAUSED,360195
window_2,unclassified_span_shape,NO_STATUS_FIELD,145151
window_2,agent_trace_context_present,SUCCESS,104134
window_2,agent_trace_context_present,ERROR,10059
window_2,workflow_context_present,NO_STATUS_FIELD,7913
window_2,session_context_present,NO_STATUS_FIELD,1562
window_2,agent_trace_context_present,CANCELLED,28
window_2,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0
window_3,agent_trace_context_present,NO_STATUS_FIELD,1507620222
window_3,agent_step_status_present,EXECUTED,258963104
window_3,agent_step_status_present,SKIPPED,57047673
window_3,agent_step_status_present,ERROR,4819986
window_3,agent_step_status_present,PAUSED,456831
window_3,unclassified_span_shape,NO_STATUS_FIELD,249684
window_3,agent_trace_context_present,SUCCESS,212357
window_3,workflow_context_present,NO_STATUS_FIELD,71456
window_3,agent_trace_context_present,ERROR,13229
window_3,session_context_present,NO_STATUS_FIELD,4870
window_3,agent_trace_context_present,CANCELLED,45
window_3,unclassified_span_shape,SUCCESS,12
window_3,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0
window_3,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0
window_3,SMALL_CELL_SUPPRESSED,SMALL_CELL_SUPPRESSED,0
