workflow_id,real_cohort_size,distinct_users,window_start,window_end,window_days,completion_rate,error_rate,abandonment_rate,recovery_rate,verification_rate,p50_latency_ms,p95_latency_ms,avg_runs_per_user
UNCLASSIFIED,6206376,1370,2026-03-23,2026-05-22,60,0.09122827879,0.02255084126,4.83E-07,0.9841986456,0.0,31757,216741,4530.20146
AGENT,1938547,1536,2026-03-23,2026-05-22,60,0.8253124634,0.1313344479,0.000413196069,0.9400953029,0.0,62392,291994,1262.07487
CHAT,1152646,1375,2026-03-23,2026-05-22,60,0.9109570501,0.06067517694,0.01931382228,1,0.0,33078,231198,838.288
GLEANBOT,78612,1316,2026-03-23,2026-05-22,60,0.981593141,0.003027527604,0,1,0.0,2488,258056,59.73556231
SUPPORT_NEXT_STEPS,37680,247,2026-03-23,2026-05-22,60,0.9893046709,0.008333333333,0,1,0.0,19607,41238,152.5506073
AGENT_LIVE_PREVIEW,30739,819,2026-03-23,2026-05-22,60,0.7436481343,0.07736100719,0.02693646508,0.9737532808,0.0,45173,396114,37.53235653
AI_ANSWER,19534,1119,2026-03-23,2026-05-22,60,0.9949319136,0.002303675642,0,0.9428571429,0.0,17942,45877,17.45665773
VOICE_CHAT,18034,721,2026-03-23,2026-05-22,60,0.01192192525,0,0,1.0,0.0,426,971,25.01248266
UNSPECIFIED,14823,84,2026-03-23,2026-05-22,60,0.901706807,0.01234567901,0,0.9,0.0,63586,235817,176.4642857
INTERACTIVE_COMPILER,11403,744,2026-03-23,2026-05-22,60,0.9264228712,0.03753398229,0.0349907919,0.9945945946,0.0,51697,343589,15.3266129
SPACES,6259,397,2026-03-23,2026-05-22,60,0.951110401,0.02204825052,0.01421952389,0.95,0.0,151788,469757,15.76574307
INLINE_MENU,4444,343,2026-03-23,2026-05-22,60,0.9923492349,0.00697569757,0,0.9444444444,0.0,7919,33402,12.95626822
EMBEDDED_INTEGRATION_SUPPORT,2779,193,2026-03-23,2026-05-22,60,0.9902842749,0.004318100036,0.0003598416697,1,0.0,3108,80340,14.39896373
PRISM,2340,217,2026-03-23,2026-05-22,60,0.4918803419,0.03974358974,0.005128205128,0.8571428571,0.0,25921,105847,10.78341014
GITHUB_PR_DESCRIPTION_GENERATOR,542,59,2026-03-23,2026-05-22,60,1,0,0,1.0,0.0,6323,15436,9.186440678
MCP_AGENT_WORKFLOW,190,6,2026-05-06,2026-05-21,15,0.9789473684,0,0,1.0,0.0,65798,219571,31.66666667
EXTENSION_SUPPORT,76,4,2026-05-20,2026-05-22,2,0.9342105263,0,0.01315789474,1.0,0.0,19651,110166,19
